"Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG"
"112,Woyo Coulibaly,ml MLI,DF,Leicester City,25,1999,4,1,109,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,3,2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04"
"113,Aaron Cresswell,eng ENG,DF,West Ham,34,1989,18,10,824,9.2,0,0,0,0,0,0,3,0,0.2,0.2,1.3,1.6,6,36,4,0.00,0.00,0.00,0.00,0.00,0.03,0.15,0.17,0.03,0.17"
"114,Marc Cucurella,es ESP,DF,Chelsea,26,1998,36,33,2988,33.2,5,1,6,5,0,0,10,1,2.8,2.8,2.1,4.9,35,118,117,0.15,0.03,0.18,0.15,0.18,0.08,0.06,0.15,0.08,0.15"
"115,Jorge Cuenca,es ESP,DF,Fulham,24,1999,8,4,351,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,10,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01"
"116,Matheus Cunha,br BRA,""MF,FW"",Wolves,25,1999,33,29,2597,28.9,15,6,21,15,0,0,4,0,8.6,8.6,7.7,16.4,112,144,161,0.52,0.21,0.73,0.52,0.73,0.30,0.27,0.57,0.30,0.57"
"117,Patson Daka,zm ZAM,""FW,MF"",Leicester City,25,1998,23,6,736,8.2,1,0,1,1,0,0,0,0,1.3,1.3,0.1,1.3,11,8,36,0.12,0.00,0.12,0.12,0.12,0.15,0.01,0.16,0.15,0.16"
"118,Diogo Dalot,pt POR,DF,Manchester Utd,25,1999,33,31,2814,31.3,0,3,3,0,0,0,5,0,2.0,2.0,2.0,4.1,62,103,168,0.00,0.10,0.10,0.00,0.10,0.07,0.07,0.13,0.07,0.13"
"119,Mikkel Damsgaard,dk DEN,""MF,FW"",Brentford,24,2000,38,34,2911,32.3,2,10,12,2,0,0,2,0,2.8,2.8,8.4,11.2,73,234,137,0.06,0.31,0.37,0.06,0.37,0.09,0.26,0.35,0.09,0.35"
"120,Danilo,br BRA,""MF,FW"",Nott'ham Forest,23,2001,8,5,275,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,11,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"121,Jayden Danns,eng ENG,MF,Liverpool,18,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"122,Kevin Danso,at AUT,DF,Tottenham,25,1998,10,9,842,9.4,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,11,19,1,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05"
"123,Ben Davies,wls WAL,DF,Tottenham,31,1993,17,14,1331,14.8,0,0,0,0,0,0,5,0,0.3,0.3,0.2,0.5,14,52,6,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03"
"124,Leif Davis,eng ENG,DF,Ipswich Town,24,2000,33,32,2743,30.5,1,2,3,1,0,0,5,1,1.0,1.0,4.9,5.8,52,59,137,0.03,0.07,0.10,0.03,0.10,0.03,0.16,0.19,0.03,0.19"
"125,Craig Dawson,eng ENG,DF,Wolves,34,1990,15,10,971,10.8,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,6,20,5,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05"
"126,Kevin De Bruyne,be BEL,""MF,FW"",Manchester City,33,1991,28,19,1702,18.9,4,7,11,4,0,0,2,0,5.1,5.1,8.0,13.1,51,157,150,0.21,0.37,0.58,0.21,0.58,0.27,0.42,0.69,0.27,0.69"
"127,Bobby De Cordova-Reid,jm JAM,FW,Leicester City,31,1993,23,9,744,8.3,1,2,3,1,0,0,2,0,0.8,0.8,1.2,2.0,14,15,48,0.12,0.24,0.36,0.12,0.36,0.10,0.15,0.24,0.10,0.24"
"128,Liam Delap,eng ENG,FW,Ipswich Town,21,2003,37,32,2593,28.8,12,2,14,10,2,2,12,0,9.3,7.8,1.9,9.7,61,30,110,0.42,0.07,0.49,0.35,0.42,0.32,0.07,0.39,0.27,0.34"
"129,Sepp van den Berg,nl NED,DF,Brentford,22,2001,31,29,2586,28.7,0,0,0,0,0,0,3,0,2.0,2.0,0.8,2.8,12,79,28,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.10,0.07,0.10"
"130,Justin Devenny,nir NIR,MF,Crystal Palace,20,2003,23,4,507,5.6,1,1,2,1,0,0,1,0,0.8,0.8,0.6,1.4,5,21,13,0.18,0.18,0.36,0.18,0.36,0.14,0.11,0.25,0.14,0.25"
"131,Kiernan Dewsbury-Hall,eng ENG,""MF,FW"",Chelsea,25,1998,13,2,264,2.9,0,1,1,0,0,0,0,0,0.2,0.2,1.1,1.3,5,14,11,0.00,0.34,0.34,0.00,0.34,0.08,0.36,0.44,0.08,0.44"
"132,Amad Diallo,ci CIV,""MF,FW"",Manchester Utd,22,2002,26,20,1901,21.1,8,6,14,8,0,0,5,0,4.7,4.7,4.9,9.6,109,60,200,0.38,0.28,0.66,0.38,0.66,0.22,0.23,0.45,0.22,0.45"
"133,RÃºben Dias,pt POR,DF,Manchester City,27,1997,27,25,2271,25.2,0,0,0,0,0,0,4,0,1.5,1.5,0.3,1.8,43,160,8,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07"
"134,Luis DÃ­az,co COL,FW,Liverpool,27,1997,36,28,2399,26.7,13,5,18,13,0,0,2,0,12.0,12.0,5.0,17.1,108,110,293,0.49,0.19,0.68,0.49,0.68,0.45,0.19,0.64,0.45,0.64"
"135,Tyler Dibling,eng ENG,""FW,MF"",Southampton,18,2006,33,20,1874,20.8,2,0,2,2,0,0,6,0,2.5,2.5,1.5,4.1,69,64,96,0.10,0.00,0.10,0.10,0.10,0.12,0.07,0.20,0.12,0.20"
"136,Lucas Digne,fr FRA,DF,Aston Villa,31,1993,32,28,2351,26.1,0,4,4,0,0,0,4,0,0.8,0.8,4.7,5.5,23,57,142,0.00,0.15,0.15,0.00,0.15,0.03,0.18,0.21,0.03,0.21"
"137,Issa Diop,fr FRA,DF,Fulham,27,1997,21,15,1339,14.9,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,6,25,3,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.04,0.04,0.04"
"138,Axel Disasi,fr FRA,DF,Aston Villa,26,1998,7,5,490,5.4,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,10,16,5,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09"
"139,Axel Disasi,fr FRA,DF,Chelsea,26,1998,6,4,364,4.0,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,6,16,2,0.25,0.00,0.25,0.25,0.25,0.07,0.02,0.09,0.07,0.09"
"140,Roman Dixon,eng ENG,DF,Everton,19,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"141,Nasser Djiga,bf BFA,DF,Wolves,21,2002,5,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"142,Matt Doherty,ie IRL,DF,Wolves,32,1992,30,25,2109,23.4,2,1,3,2,0,0,6,0,1.0,1.0,1.5,2.6,29,79,41,0.09,0.04,0.13,0.09,0.13,0.04,0.07,0.11,0.04,0.11"
"143,Jeremy Doku,be BEL,""FW,MF"",Manchester City,22,2002,29,16,1516,16.8,3,6,9,3,0,0,1,0,1.3,1.3,4.8,6.1,213,69,286,0.18,0.36,0.53,0.18,0.53,0.08,0.29,0.36,0.08,0.36"
"144,NicolÃ¡s DomÃ­nguez,ar ARG,""MF,FW"",Nott'ham Forest,26,1998,34,23,1963,21.8,0,1,1,0,0,0,9,0,1.5,1.5,1.3,2.8,16,83,33,0.00,0.05,0.05,0.00,0.05,0.07,0.06,0.13,0.07,0.13"
"145,Patrick Dorgu,dk DEN,DF,Manchester Utd,19,2004,12,10,842,9.4,0,0,0,0,0,0,3,1,0.4,0.4,0.7,1.2,41,34,83,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.12,0.05,0.12"
"146,Alfie Dorrington,eng ENG,DF,Tottenham,19,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"147,Abdoulaye DoucourÃ©,ml MLI,MF,Everton,31,1993,33,31,2564,28.5,3,2,5,3,0,0,5,1,4.1,4.1,2.4,6.6,42,82,96,0.11,0.07,0.18,0.11,0.18,0.15,0.09,0.23,0.15,0.23"
"148,Cheick DoucourÃ©,ml MLI,MF,Crystal Palace,24,2000,13,4,452,5.0,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,2,19,7,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08"
"149,Flynn Downes,eng ENG,MF,Southampton,25,1999,27,25,2151,23.9,1,0,1,1,0,0,12,0,0.6,0.6,1.1,1.7,29,66,29,0.04,0.00,0.04,0.04,0.04,0.03,0.05,0.07,0.03,0.07"
"150,Tommy Doyle,eng ENG,MF,Wolves,22,2001,24,3,488,5.4,0,1,1,0,0,0,1,0,0.6,0.6,0.5,1.1,6,40,4,0.00,0.18,0.18,0.00,0.18,0.10,0.09,0.20,0.10,0.20"
"151,Radu DrÄƒguÈ™in,ro ROU,DF,Tottenham,22,2002,16,14,1252,13.9,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,7,37,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04"
"152,Martin DÃºbravka,sk SVK,GK,Newcastle Utd,35,1989,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"153,Lewis Dunk,eng ENG,DF,Brighton,32,1991,25,23,2083,23.1,0,0,0,0,0,0,5,0,0.8,0.8,0.5,1.3,20,142,3,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.06,0.03,0.06"
"154,JÃ¡der DurÃ¡n,co COL,FW,Aston Villa,20,2003,20,4,638,7.1,7,0,7,7,0,0,3,1,4.9,4.9,0.2,5.1,7,13,44,0.99,0.00,0.99,0.99,0.99,0.69,0.03,0.71,0.69,0.71"
"155,Claudio Echeverri,ar ARG,FW,Manchester City,18,2006,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"156,Ederson,br BRA,GK,Manchester City,30,1993,26,26,2320,25.8,0,4,4,0,0,0,4,0,0.0,0.0,1.5,1.5,0,2,0,0.00,0.16,0.16,0.00,0.16,0.00,0.06,0.06,0.00,0.06"
"157,George Edmundson,eng ENG,DF,Ipswich Town,26,1997,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"158,Odsonne Ã‰douard,fr FRA,""MF,FW"",Crystal Palace,26,1998,2,1,115,1.3,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,3,4,7,0.00,0.00,0.00,0.00,0.00,0.31,0.04,0.34,0.31,0.34"
"159,Odsonne Ã‰douard,fr FRA,FW,Leicester City,26,1998,4,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13"
"160,Samuel Edozie,eng ENG,""DF,FW"",Southampton,21,2003,2,0,65,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,6,4,23,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14"
"161,Ronnie Edwards,eng ENG,DF,Southampton,21,2003,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"162,Anthony Elanga,se SWE,""FW,MF"",Nott'ham Forest,22,2002,38,31,2501,27.8,6,11,17,6,0,0,1,0,4.5,4.5,5.7,10.1,102,63,229,0.22,0.40,0.61,0.22,0.61,0.16,0.20,0.36,0.16,0.36"
"163,Harvey Elliott,eng ENG,MF,Liverpool,21,2003,18,2,371,4.1,1,2,3,1,0,0,1,0,1.8,1.8,1.1,2.8,10,44,30,0.24,0.49,0.73,0.24,0.73,0.43,0.26,0.69,0.43,0.69"
"164,Yunus Emre Konak,tr TUR,""FW,MF"",Brentford,18,2006,10,0,42,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,2,2,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.33,0.33"
"165,Julio Enciso,py PAR,""MF,FW"",Ipswich Town,20,2004,13,12,869,9.7,2,3,5,2,0,0,3,0,1.7,1.7,1.4,3.1,23,28,44,0.21,0.31,0.52,0.21,0.52,0.18,0.14,0.32,0.18,0.32"
"166,Julio Enciso,py PAR,""MF,FW"",Brighton,20,2004,12,2,294,3.3,0,0,0,0,0,0,0,0,1.0,1.0,0.2,1.2,11,14,17,0.00,0.00,0.00,0.00,0.00,0.31,0.07,0.38,0.31,0.38"
"167,Wataru Endo,jp JPN,""MF,DF"",Liverpool,31,1993,20,1,273,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,19,8,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02"
"168,Christian Eriksen,dk DEN,MF,Manchester Utd,32,1992,23,11,1061,11.8,1,2,3,0,1,1,4,0,1.4,0.6,3.2,3.8,13,55,29,0.08,0.17,0.25,0.00,0.17,0.12,0.27,0.39,0.05,0.32"
"169,Romain Esse,eng ENG,MF,Crystal Palace,19,2005,7,1,138,1.5,1,1,2,1,0,0,0,0,0.3,0.3,0.4,0.7,1,7,14,0.65,0.65,1.30,0.65,1.30,0.21,0.27,0.48,0.21,0.48"
"170,Pervis EstupiÃ±Ã¡n,ec ECU,DF,Brighton,26,1998,30,26,2402,26.7,1,1,2,1,0,0,5,0,1.2,1.2,2.1,3.3,59,132,112,0.04,0.04,0.07,0.04,0.07,0.04,0.08,0.12,0.04,0.12"
"171,Evanilson,br BRA,FW,Bournemouth,24,1999,31,28,2319,25.8,10,1,11,10,0,1,1,1,12.5,11.7,1.9,13.6,29,28,99,0.39,0.04,0.43,0.39,0.43,0.48,0.07,0.56,0.45,0.53"
"172,Jake Evans,,FW,Leicester City,,,4,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"173,Jonny Evans,nir NIR,DF,Manchester Utd,36,1988,7,3,315,3.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,10,3,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04"
"174,Eberechi Eze,eng ENG,""MF,FW"",Crystal Palace,26,1998,34,31,2588,28.8,8,8,16,7,1,2,1,0,10.5,8.9,6.2,15.1,69,97,153,0.28,0.28,0.56,0.24,0.52,0.36,0.22,0.58,0.31,0.53"
"175,Åukasz FabiaÅ„ski,pl POL,GK,West Ham,39,1985,14,13,1160,12.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"176,Wout Faes,be BEL,DF,Leicester City,26,1998,34,30,2815,31.3,1,0,1,1,0,0,4,0,1.5,1.5,0.1,1.6,12,86,1,0.03,0.00,0.03,0.03,0.03,0.05,0.00,0.05,0.05,0.05"
"177,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,20,2004,11,6,579,6.4,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2.0,42,17,60,0.00,0.31,0.31,0.00,0.31,0.06,0.24,0.31,0.06,0.31"
"178,JoÃ£o FÃ©lix,pt POR,""FW,MF"",Chelsea,24,1999,12,3,369,4.1,1,1,2,1,0,0,2,0,2.2,2.2,1.0,3.2,21,26,30,0.24,0.24,0.49,0.24,0.49,0.54,0.23,0.78,0.54,0.78"
"179,Evan Ferguson,ie IRL,FW,West Ham,19,2004,8,1,156,1.7,0,0,0,0,0,0,0,0,0.6,0.6,0.3,0.9,1,1,7,0.00,0.00,0.00,0.00,0.00,0.32,0.17,0.50,0.32,0.50"
"180,Evan Ferguson,ie IRL,FW,Brighton,19,2004,13,2,246,2.7,1,0,1,1,0,0,0,0,0.5,0.5,0.4,1.0,2,1,9,0.37,0.00,0.37,0.37,0.37,0.20,0.15,0.35,0.20,0.35"
"181,Bruno Fernandes,pt POR,MF,Manchester Utd,29,1994,36,35,3018,33.5,8,10,18,5,3,3,5,2,9.9,7.6,8.5,16.1,77,325,129,0.24,0.30,0.54,0.15,0.45,0.30,0.25,0.55,0.23,0.48"
"182,Mateus Fernandes,pt POR,MF,Southampton,20,2004,36,34,2909,32.3,2,4,6,2,0,0,8,0,4.0,4.0,3.0,7.0,76,145,108,0.06,0.12,0.19,0.06,0.19,0.12,0.09,0.22,0.12,0.22"
"183,Enzo FernÃ¡ndez,ar ARG,MF,Chelsea,23,2001,36,32,2947,32.7,6,7,13,6,0,0,8,0,6.1,6.1,6.8,12.9,60,212,126,0.18,0.21,0.40,0.18,0.40,0.19,0.21,0.39,0.19,0.39"
"184,Mark Flekken,nl NED,GK,Brentford,31,1993,37,37,3275,36.4,0,2,2,0,0,0,1,0,0.0,0.0,0.5,0.5,0,0,0,0.00,0.05,0.05,0.00,0.05,0.00,0.01,0.01,0.00,0.01"
"185,Phil Foden,eng ENG,""MF,FW"",Manchester City,24,2000,28,20,1777,19.7,7,2,9,7,0,0,2,0,5.2,5.2,4.8,9.9,50,103,128,0.35,0.10,0.46,0.35,0.46,0.26,0.24,0.50,0.26,0.50"
"186,Wesley Fofana,fr FRA,DF,Chelsea,23,2000,14,14,1172,13.0,0,0,0,0,0,0,7,0,0.4,0.4,0.4,0.8,19,32,4,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.07,0.03,0.06"
"187,Carlos Forbs,pt POR,""MF,FW"",Wolves,20,2004,10,1,239,2.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.2,10,8,28,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.07,0.05,0.07"
"188,Fraser Forster,eng ENG,GK,Tottenham,36,1988,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"189,Matheus FranÃ§a,br BRA,""MF,FW"",Crystal Palace,20,2004,4,0,55,0.6,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,4,3,4,1.64,0.00,1.64,1.64,1.64,0.42,0.00,0.42,0.42,0.42"
"190,Ryan Fraser,sct SCO,""FW,DF"",Southampton,30,1994,8,4,306,3.4,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,10,8,18,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04"
"191,Tyler Fredricson,eng ENG,DF,Manchester Utd,19,2005,2,2,165,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"192,Niclas FÃ¼llkrug,de GER,FW,West Ham,31,1993,18,6,790,8.8,3,2,5,3,0,0,2,0,2.2,2.2,1.9,4.1,7,14,31,0.34,0.23,0.57,0.34,0.57,0.25,0.22,0.46,0.25,0.46"
"193,Cody Gakpo,nl NED,FW,Liverpool,25,1999,35,23,1935,21.5,10,4,14,10,0,0,5,0,7.1,7.1,4.4,11.5,59,52,278,0.47,0.19,0.65,0.47,0.65,0.33,0.20,0.53,0.33,0.53"
"194,Idrissa Gana Gueye,sn SEN,MF,Everton,34,1989,37,35,3063,34.0,0,3,3,0,0,0,9,0,1.1,1.1,1.7,2.8,27,145,27,0.00,0.09,0.09,0.00,0.09,0.03,0.05,0.08,0.03,0.08"
"195,AndrÃ©s GarcÃ­a,es ESP,""DF,MF"",Aston Villa,21,2003,7,5,318,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,26,15,28,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06"
"196,Alejandro Garnacho,ar ARG,""MF,FW"",Manchester Utd,20,2004,36,23,2199,24.4,6,2,8,6,0,0,3,0,7.3,7.3,4.5,11.8,141,56,290,0.25,0.08,0.33,0.25,0.33,0.30,0.19,0.48,0.30,0.48"
"197,James Garner,eng ENG,""MF,DF"",Everton,23,2001,21,17,1594,17.7,0,1,1,0,0,0,5,0,0.7,0.7,1.4,2.1,15,50,30,0.00,0.06,0.06,0.00,0.06,0.04,0.08,0.12,0.04,0.12"
"198,Tyrique George,eng ENG,FW,Chelsea,18,2006,8,1,183,2.0,1,1,2,1,0,0,1,0,0.2,0.2,0.7,0.9,9,3,22,0.49,0.49,0.98,0.49,0.98,0.10,0.36,0.46,0.10,0.46"
"199,Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,24,2000,34,34,2803,31.1,7,8,15,7,0,0,11,1,6.3,6.3,5.0,11.2,69,164,136,0.22,0.26,0.48,0.22,0.48,0.20,0.16,0.36,0.20,0.36"
"200,Billy Gilmour,sct SCO,MF,Brighton,23,2001,2,1,98,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,11,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07"
"201,Ben Godfrey,eng ENG,DF,Ipswich Town,26,1998,3,2,159,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"202,Martial Godo,eng ENG,""FW,DF"",Fulham,21,2003,2,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.21,0.00,0.21"
"203,Michael Golding,eng ENG,MF,Leicester City,18,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"204,JoÃ£o Gomes,br BRA,MF,Wolves,23,2001,36,35,2974,33.0,3,1,4,3,0,0,11,1,2.9,2.9,1.2,4.1,59,165,76,0.09,0.03,0.12,0.09,0.12,0.09,0.04,0.12,0.09,0.12"
"205,Rodrigo Gomes,pt POR,""DF,FW"",Wolves,21,2003,25,7,810,9.0,2,0,2,2,0,0,0,0,0.7,0.7,0.9,1.6,23,27,81,0.22,0.00,0.22,0.22,0.22,0.08,0.10,0.18,0.08,0.18"
"206,Toti Gomes,pt POR,DF,Wolves,25,1999,31,30,2614,29.0,0,1,1,0,0,0,7,0,0.7,0.7,0.9,1.7,27,86,18,0.00,0.03,0.03,0.00,0.03,0.03,0.03,0.06,0.03,0.06"
"207,Diego GÃ³mez,py PAR,MF,Brighton,21,2003,16,4,516,5.7,1,0,1,1,0,0,0,0,0.9,0.9,0.7,1.6,8,27,23,0.17,0.00,0.17,0.17,0.17,0.15,0.13,0.28,0.15,0.28"
"208,Joe Gomez,eng ENG,DF,Liverpool,27,1997,9,6,519,5.8,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,5,35,2,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08"
"209,NicolÃ¡s GonzÃ¡lez,es ESP,MF,Manchester City,22,2002,11,9,760,8.4,1,0,1,1,0,0,3,0,0.5,0.5,0.1,0.5,9,50,11,0.12,0.00,0.12,0.12,0.12,0.06,0.01,0.06,0.06,0.06"
"210,Anthony Gordon,eng ENG,""FW,MF"",Newcastle Utd,23,2001,34,28,2434,27.0,6,5,11,5,1,2,2,0,8.0,6.5,5.0,11.4,121,98,214,0.22,0.18,0.41,0.18,0.37,0.30,0.18,0.48,0.24,0.42"
"211,Ryan Gravenberch,nl NED,MF,Liverpool,22,2002,37,37,3160,35.1,0,4,4,0,0,0,6,1,1.1,1.1,3.1,4.2,70,181,55,0.00,0.11,0.11,0.00,0.11,0.03,0.09,0.12,0.03,0.12"
"212,Archie Gray,eng ENG,""DF,MF"",Tottenham,18,2006,28,19,1751,19.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,7,40,17,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01"
"213,Jack Grealish,eng ENG,""FW,MF"",Manchester City,28,1995,20,7,721,8.0,1,1,2,1,0,0,3,0,1.1,1.1,1.8,3.0,69,52,118,0.12,0.12,0.25,0.12,0.25,0.14,0.23,0.37,0.14,0.37"
"214,Jacob Greaves,eng ENG,DF,Ipswich Town,23,2000,25,25,2205,24.5,1,0,1,1,0,0,5,0,1.3,1.3,0.3,1.6,11,69,11,0.04,0.00,0.04,0.04,0.04,0.05,0.01,0.06,0.05,0.06"
"215,Brajan Gruda,de GER,""MF,FW"",Brighton,20,2004,21,8,687,7.6,1,4,5,1,0,0,0,0,1.2,1.2,2.1,3.3,22,26,57,0.13,0.52,0.66,0.13,0.66,0.16,0.28,0.43,0.16,0.43"
"216,Albert GrÃ¸nbaek,dk DEN,""FW,MF"",Southampton,23,2001,4,2,143,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08"
"217,GonÃ§alo Guedes,pt POR,""MF,FW"",Wolves,27,1996,29,10,995,11.1,2,4,6,2,0,0,1,0,3.2,3.2,1.3,4.5,41,40,79,0.18,0.36,0.54,0.18,0.54,0.29,0.11,0.40,0.29,0.40"
"218,Marc GuÃ©hi,eng ENG,DF,Crystal Palace,24,2000,34,34,3059,34.0,3,2,5,3,0,0,9,1,2.0,2.0,1.8,3.7,22,134,10,0.09,0.06,0.15,0.09,0.15,0.06,0.05,0.11,0.06,0.11"
"219,Luis Guilherme,br BRA,""MF,FW"",West Ham,18,2006,12,1,150,1.7,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,4,5,16,0.00,0.00,0.00,0.00,0.00,0.25,0.05,0.30,0.25,0.30"
"220,Bruno GuimarÃ£es,br BRA,MF,Newcastle Utd,26,1997,38,38,3271,36.3,5,6,11,5,0,0,7,0,4.3,4.3,6.1,10.4,64,271,96,0.14,0.17,0.30,0.14,0.30,0.12,0.17,0.29,0.12,0.29"
"221,Marc Guiu,es ESP,FW,Chelsea,18,2006,3,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04"
"222,Ä°lkay GÃ¼ndoÄŸan,de GER,MF,Manchester City,33,1990,33,25,2223,24.7,1,6,7,1,0,0,1,0,3.2,3.2,3.5,6.7,64,127,96,0.04,0.24,0.28,0.04,0.28,0.13,0.14,0.27,0.13,0.27"
